"","contrast","RAWMATERIAL","estimate","lower.HPD","upper.HPD"
"110","(STRAT_mod25.5 - STRAT_mod26.6) - (STRAT_mod26.6 - STRAT_mod27.2)","Quartz",-0.0213979587013917,-0.0764889999286145,0.0302814793327468
"111","(STRAT_mod25.5 - STRAT_mod26.6) - (STRAT_mod26.6 - STRAT_mod29.6)","Quartz",-0.00731073813356531,-0.058251249688186,0.0413170063437032
"112","(STRAT_mod25.5 - STRAT_mod26.6) - (STRAT_mod26.6 - STRAT_mod37.1)","Quartz",-0.0280600835269091,-0.0912730956840258,0.0333207149820254
"113","(STRAT_mod25.5 - STRAT_mod26.6) - (STRAT_mod26.6 - STRAT_mod49.8)","Quartz",0.0162984880094337,-0.0362013233201619,0.0689227498074132
"114","(STRAT_mod25.5 - STRAT_mod26.6) - (STRAT_mod27.2 - STRAT_mod29.6)","Quartz",0.0423267487284993,-0.00971991651524196,0.0929974986462914
"115","(STRAT_mod25.5 - STRAT_mod26.6) - (STRAT_mod27.2 - STRAT_mod37.1)","Quartz",0.0211509988771248,-0.0442714284606778,0.0831868047078492
"116","(STRAT_mod25.5 - STRAT_mod26.6) - (STRAT_mod27.2 - STRAT_mod49.8)","Quartz",0.0664120414835641,0.011275032222728,0.121789151785134
"117","(STRAT_mod25.5 - STRAT_mod26.6) - (STRAT_mod29.6 - STRAT_mod37.1)","Quartz",0.0061097245337125,-0.0525620401793661,0.0658939280359969
"118","(STRAT_mod25.5 - STRAT_mod26.6) - (STRAT_mod29.6 - STRAT_mod49.8)","Quartz",0.0519547543289822,0.000544762575159563,0.100430192316492
"119","(STRAT_mod25.5 - STRAT_mod26.6) - (STRAT_mod37.1 - STRAT_mod49.8)","Quartz",0.073179260056162,0.00783853413247693,0.131921181339687
"120","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod25.5 - STRAT_mod29.6)","Quartz",0.0141392230557666,-0.0325040270573296,0.0576767520831654
"121","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod25.5 - STRAT_mod37.1)","Quartz",-0.00718106436724564,-0.0666156645745084,0.0512347855984783
"122","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod25.5 - STRAT_mod49.8)","Quartz",0.03828883611812,-0.0129944284261891,0.0863367858872284
"123","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod26.6 - STRAT_mod27.2)","Quartz",0.028079256054905,0.00386321319559313,0.0528056618778496
"124","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod26.6 - STRAT_mod29.6)","Quartz",0.0423267487284993,-0.00971991651524196,0.0929974986462914
"125","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod26.6 - STRAT_mod37.1)","Quartz",0.0211509988771248,-0.0442714284606778,0.0831868047078492
"126","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod26.6 - STRAT_mod49.8)","Quartz",0.0664120414835641,0.011275032222728,0.121789151785134
"127","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod27.2 - STRAT_mod29.6)","Quartz",0.0919130481133845,0.0165953010077606,0.171761403902376
"128","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod27.2 - STRAT_mod37.1)","Quartz",0.0707632255776141,-0.0121725742713918,0.162453188693819
"129","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod27.2 - STRAT_mod49.8)","Quartz",0.115710594895259,0.0367497399359009,0.196605055999885
"130","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod29.6 - STRAT_mod37.1)","Quartz",0.0565284304358886,-0.0125641815277588,0.122039242141631
"131","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod29.6 - STRAT_mod49.8)","Quartz",0.10151159373437,0.0448663703714973,0.161489402074496
"132","(STRAT_mod25.5 - STRAT_mod27.2) - (STRAT_mod37.1 - STRAT_mod49.8)","Quartz",0.122872141098566,0.0556944293357415,0.191149354686956
"133","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod25.5 - STRAT_mod37.1)","Quartz",-0.0219277869785519,-0.0753902769775094,0.0312627171325133
"134","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod25.5 - STRAT_mod49.8)","Quartz",0.023864892609077,-0.0208114439935847,0.0661518348072825
"135","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod26.6 - STRAT_mod27.2)","Quartz",0.0137053007724584,-0.040175850849641,0.0623376993067377
"136","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod26.6 - STRAT_mod29.6)","Quartz",0.028079256054905,0.00386321319559313,0.0528056618778496
"137","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod26.6 - STRAT_mod37.1)","Quartz",0.0061097245337125,-0.0525620401793661,0.0658939280359969
"138","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod26.6 - STRAT_mod49.8)","Quartz",0.0519547543289822,0.000544762575159563,0.100430192316492
"139","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod27.2 - STRAT_mod29.6)","Quartz",0.0777120147133017,0.0396465040705736,0.1174735538186
"140","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod27.2 - STRAT_mod37.1)","Quartz",0.0565284304358886,-0.0125641815277588,0.122039242141631
"141","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod27.2 - STRAT_mod49.8)","Quartz",0.10151159373437,0.0448663703714973,0.161489402074496
"142","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod29.6 - STRAT_mod37.1)","Quartz",0.0411186668394852,-0.0336827647956368,0.114363836401251
"143","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod29.6 - STRAT_mod49.8)","Quartz",0.0869469512660965,0.0187156830068997,0.152915871972377
"144","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod37.1 - STRAT_mod49.8)","Quartz",0.10862497591611,0.042680393718435,0.17221111990289
"145","(STRAT_mod25.5 - STRAT_mod37.1) - (STRAT_mod25.5 - STRAT_mod49.8)","Quartz",0.0452115673870963,-0.0097953380638689,0.105180325200741
"146","(STRAT_mod25.5 - STRAT_mod37.1) - (STRAT_mod26.6 - STRAT_mod27.2)","Quartz",0.034850631533337,-0.0256228732914532,0.100197804550472
"147","(STRAT_mod25.5 - STRAT_mod37.1) - (STRAT_mod26.6 - STRAT_mod29.6)","Quartz",0.0500128111077762,-0.0090449426517436,0.108712099988926
"148","(STRAT_mod25.5 - STRAT_mod37.1) - (STRAT_mod26.6 - STRAT_mod37.1)","Quartz",0.028079256054905,0.00386321319559313,0.0528056618778496
"149","(STRAT_mod25.5 - STRAT_mod37.1) - (STRAT_mod26.6 - STRAT_mod49.8)","Quartz",0.073179260056162,0.00783853413247693,0.131921181339687
"150","(STRAT_mod25.5 - STRAT_mod37.1) - (STRAT_mod27.2 - STRAT_mod29.6)","Quartz",0.0997411832149586,0.0321665883567324,0.161585569822886
"151","(STRAT_mod25.5 - STRAT_mod37.1) - (STRAT_mod27.2 - STRAT_mod37.1)","Quartz",0.0777120147133017,0.0396465040705736,0.1174735538186
"152","(STRAT_mod25.5 - STRAT_mod37.1) - (STRAT_mod27.2 - STRAT_mod49.8)","Quartz",0.122872141098566,0.0556944293357415,0.191149354686956
"153","(STRAT_mod25.5 - STRAT_mod37.1) - (STRAT_mod29.6 - STRAT_mod37.1)","Quartz",0.0634387988979481,0.0322490328357192,0.0954072092116514
"154","(STRAT_mod25.5 - STRAT_mod37.1) - (STRAT_mod29.6 - STRAT_mod49.8)","Quartz",0.10862497591611,0.042680393718435,0.17221111990289
"155","(STRAT_mod25.5 - STRAT_mod37.1) - (STRAT_mod37.1 - STRAT_mod49.8)","Quartz",0.13025496998791,0.0301259974033821,0.229068923213903
"156","(STRAT_mod25.5 - STRAT_mod49.8) - (STRAT_mod26.6 - STRAT_mod27.2)","Quartz",-0.0107515521580359,-0.0624422085367442,0.047485033008047
"157","(STRAT_mod25.5 - STRAT_mod49.8) - (STRAT_mod26.6 - STRAT_mod29.6)","Quartz",0.00437479749943304,-0.0453467544137665,0.0562680594598075
"158","(STRAT_mod25.5 - STRAT_mod49.8) - (STRAT_mod26.6 - STRAT_mod37.1)","Quartz",-0.016895370937553,-0.0765259254072514,0.0498075361360817
"159","(STRAT_mod25.5 - STRAT_mod49.8) - (STRAT_mod26.6 - STRAT_mod49.8)","Quartz",0.028079256054905,0.00386321319559313,0.0528056618778496
"160","(STRAT_mod25.5 - STRAT_mod49.8) - (STRAT_mod27.2 - STRAT_mod29.6)","Quartz",0.0542428635735603,-0.00659154234511439,0.111928404840756
"161","(STRAT_mod25.5 - STRAT_mod49.8) - (STRAT_mod27.2 - STRAT_mod37.1)","Quartz",0.0329100125874162,-0.0393702491538788,0.101735989885487
"162","(STRAT_mod25.5 - STRAT_mod49.8) - (STRAT_mod27.2 - STRAT_mod49.8)","Quartz",0.0777120147133017,0.0396465040705736,0.1174735538186
"163","(STRAT_mod25.5 - STRAT_mod49.8) - (STRAT_mod29.6 - STRAT_mod37.1)","Quartz",0.0182232958795456,-0.0499644158546269,0.0834668762758941
"164","(STRAT_mod25.5 - STRAT_mod49.8) - (STRAT_mod29.6 - STRAT_mod49.8)","Quartz",0.0634387988979481,0.0322490328357192,0.0954072092116514
"165","(STRAT_mod25.5 - STRAT_mod49.8) - (STRAT_mod37.1 - STRAT_mod49.8)","Quartz",0.0845597660901969,0.039280877035289,0.135802588878953
"166","(STRAT_mod26.6 - STRAT_mod27.2) - (STRAT_mod26.6 - STRAT_mod29.6)","Quartz",0.0141392230557666,-0.0325040270573296,0.0576767520831654
"167","(STRAT_mod26.6 - STRAT_mod27.2) - (STRAT_mod26.6 - STRAT_mod37.1)","Quartz",-0.00718106436724564,-0.0666156645745084,0.0512347855984783
"168","(STRAT_mod26.6 - STRAT_mod27.2) - (STRAT_mod26.6 - STRAT_mod49.8)","Quartz",0.03828883611812,-0.0129944284261891,0.0863367858872284
"169","(STRAT_mod26.6 - STRAT_mod27.2) - (STRAT_mod27.2 - STRAT_mod29.6)","Quartz",0.0642663295288206,-0.0105403630582699,0.144859640523859
"170","(STRAT_mod26.6 - STRAT_mod27.2) - (STRAT_mod27.2 - STRAT_mod37.1)","Quartz",0.0421340542517619,-0.0408179999866776,0.134005417618924
"171","(STRAT_mod26.6 - STRAT_mod27.2) - (STRAT_mod27.2 - STRAT_mod49.8)","Quartz",0.0878773490107656,0.00327595859358976,0.163994175249092
"172","(STRAT_mod26.6 - STRAT_mod27.2) - (STRAT_mod29.6 - STRAT_mod37.1)","Quartz",0.028120167416068,-0.038813863267638,0.0960187403270263
"173","(STRAT_mod26.6 - STRAT_mod27.2) - (STRAT_mod29.6 - STRAT_mod49.8)","Quartz",0.0741622817273959,0.0102669204433594,0.12900436100655
"174","(STRAT_mod26.6 - STRAT_mod27.2) - (STRAT_mod37.1 - STRAT_mod49.8)","Quartz",0.0942436808558031,0.0227363702416019,0.160936202859465
"175","(STRAT_mod26.6 - STRAT_mod29.6) - (STRAT_mod26.6 - STRAT_mod37.1)","Quartz",-0.0219277869785519,-0.0753902769775094,0.0312627171325133
"176","(STRAT_mod26.6 - STRAT_mod29.6) - (STRAT_mod26.6 - STRAT_mod49.8)","Quartz",0.023864892609077,-0.0208114439935847,0.0661518348072825
"177","(STRAT_mod26.6 - STRAT_mod29.6) - (STRAT_mod27.2 - STRAT_mod29.6)","Quartz",0.0496433642240988,0.0102110135767548,0.0900107380093931
"178","(STRAT_mod26.6 - STRAT_mod29.6) - (STRAT_mod27.2 - STRAT_mod37.1)","Quartz",0.028120167416068,-0.038813863267638,0.0960187403270263
"179","(STRAT_mod26.6 - STRAT_mod29.6) - (STRAT_mod27.2 - STRAT_mod49.8)","Quartz",0.0741622817273959,0.0102669204433594,0.12900436100655
"180","(STRAT_mod26.6 - STRAT_mod29.6) - (STRAT_mod29.6 - STRAT_mod37.1)","Quartz",0.0127489619152281,-0.0622733755578384,0.0861560841015367
"181","(STRAT_mod26.6 - STRAT_mod29.6) - (STRAT_mod29.6 - STRAT_mod49.8)","Quartz",0.0590147744141269,-0.00761802128748679,0.126365282213977
"182","(STRAT_mod26.6 - STRAT_mod29.6) - (STRAT_mod37.1 - STRAT_mod49.8)","Quartz",0.080474599484601,0.0117067164823186,0.145562916072666
"183","(STRAT_mod26.6 - STRAT_mod37.1) - (STRAT_mod26.6 - STRAT_mod49.8)","Quartz",0.0452115673870963,-0.0097953380638689,0.105180325200741
"184","(STRAT_mod26.6 - STRAT_mod37.1) - (STRAT_mod27.2 - STRAT_mod29.6)","Quartz",0.0709507521722068,0.00316609375096411,0.136024408715182
"185","(STRAT_mod26.6 - STRAT_mod37.1) - (STRAT_mod27.2 - STRAT_mod37.1)","Quartz",0.0496433642240988,0.0102110135767548,0.0900107380093931
