"","contrast","RAWMATERIAL","estimate","lower.HPD","upper.HPD"
"556","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod26.6 - STRAT_mod29.6)","Silcrete",0.213148822380536,-0.0378809415260247,0.451538105417001
"557","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod26.6 - STRAT_mod37.1)","Silcrete",0.43594483256992,-0.044136438134674,0.930961724221564
"558","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod26.6 - STRAT_mod49.8)","Silcrete",0.156669244966521,-0.32445736463121,0.611381175228697
"559","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod27.2 - STRAT_mod29.6)","Silcrete",-0.0460505079461666,-0.43508648244765,0.327711988555767
"560","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod27.2 - STRAT_mod37.1)","Silcrete",0.176934618123424,-0.414250791581455,0.714612085943177
"561","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod27.2 - STRAT_mod49.8)","Silcrete",-0.104374270051763,-0.66532203753815,0.437181042532114
"562","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod29.6 - STRAT_mod37.1)","Silcrete",0.51216270225602,-0.166587854140937,1.19569157710512
"563","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod29.6 - STRAT_mod49.8)","Silcrete",0.233058837106485,-0.416205379056446,0.909494394684378
"564","(STRAT_mod25.5 - STRAT_mod29.6) - (STRAT_mod37.1 - STRAT_mod49.8)","Silcrete",-0.00315988932194806,-0.516192433698999,0.515349889521686
"565","(STRAT_mod25.5 - STRAT_mod37.1) - (STRAT_mod25.5 - STRAT_mod49.8)","Silcrete",-0.285461910205024,-0.66478425686481,0.137770757386471
"566","(STRAT_mod25.5 - STRAT_mod37.1) - (STRAT_mod26.6 - STRAT_mod27.2)","Silcrete",0.3206693044321,-0.194674506891414,0.87976634383031
"567","(STRAT_mod25.5 - STRAT_mod37.1) - (STRAT_mod26.6 - STRAT_mod29.6)","Silcrete",-0.01795860217866,-0.516175786244547,0.467675382957827
"568","(STRAT_mod25.5 - STRAT_mod37.1) - (STRAT_mod26.6 - STRAT_mod37.1)","Silcrete",0.213148822380536,-0.0378809415260247,0.451538105417001
"569","(STRAT_mod25.5 - STRAT_mod37.1) - (STRAT_mod26.6 - STRAT_mod49.8)","Silcrete",-0.0742297485230706,-0.568201924449163,0.373460647362691
"570","(STRAT_mod25.5 - STRAT_mod37.1) - (STRAT_mod27.2 - STRAT_mod29.6)","Silcrete",-0.277145446244306,-0.852628365926872,0.292089704524792
"571","(STRAT_mod25.5 - STRAT_mod37.1) - (STRAT_mod27.2 - STRAT_mod37.1)","Silcrete",-0.0460505079461666,-0.43508648244765,0.327711988555767
"572","(STRAT_mod25.5 - STRAT_mod37.1) - (STRAT_mod27.2 - STRAT_mod49.8)","Silcrete",-0.331524964856332,-0.911398757848,0.20937438315693
"573","(STRAT_mod25.5 - STRAT_mod37.1) - (STRAT_mod29.6 - STRAT_mod37.1)","Silcrete",0.289456380068845,-0.050238644768032,0.598778831860889
"574","(STRAT_mod25.5 - STRAT_mod37.1) - (STRAT_mod29.6 - STRAT_mod49.8)","Silcrete",-0.00315988932194806,-0.516192433698999,0.515349889521686
"575","(STRAT_mod25.5 - STRAT_mod37.1) - (STRAT_mod37.1 - STRAT_mod49.8)","Silcrete",-0.220960514833326,-0.901801179893942,0.437628100084339
"576","(STRAT_mod25.5 - STRAT_mod49.8) - (STRAT_mod26.6 - STRAT_mod27.2)","Silcrete",0.604285189535849,0.0820265875533285,1.12891860249063
"577","(STRAT_mod25.5 - STRAT_mod49.8) - (STRAT_mod26.6 - STRAT_mod29.6)","Silcrete",0.267398864105987,-0.197945810905464,0.737746166381802
"578","(STRAT_mod25.5 - STRAT_mod49.8) - (STRAT_mod26.6 - STRAT_mod37.1)","Silcrete",0.498801275622331,0.0334206906337101,0.978300946499738
"579","(STRAT_mod25.5 - STRAT_mod49.8) - (STRAT_mod26.6 - STRAT_mod49.8)","Silcrete",0.213148822380536,-0.0378809415260247,0.451538105417001
"580","(STRAT_mod25.5 - STRAT_mod49.8) - (STRAT_mod27.2 - STRAT_mod29.6)","Silcrete",0.00851989031061016,-0.54575051202465,0.548657710636166
"581","(STRAT_mod25.5 - STRAT_mod49.8) - (STRAT_mod27.2 - STRAT_mod37.1)","Silcrete",0.232639895560056,-0.315888081823043,0.784122933795606
"582","(STRAT_mod25.5 - STRAT_mod49.8) - (STRAT_mod27.2 - STRAT_mod49.8)","Silcrete",-0.0460505079461666,-0.43508648244765,0.327711988555767
"583","(STRAT_mod25.5 - STRAT_mod49.8) - (STRAT_mod29.6 - STRAT_mod37.1)","Silcrete",0.569038208056934,0.0513973864741177,1.07364902026862
"584","(STRAT_mod25.5 - STRAT_mod49.8) - (STRAT_mod29.6 - STRAT_mod49.8)","Silcrete",0.289456380068845,-0.050238644768032,0.598778831860889
"585","(STRAT_mod25.5 - STRAT_mod49.8) - (STRAT_mod37.1 - STRAT_mod49.8)","Silcrete",0.0631121030485598,-0.281168099651459,0.381484538691037
"586","(STRAT_mod26.6 - STRAT_mod27.2) - (STRAT_mod26.6 - STRAT_mod29.6)","Silcrete",-0.334137124016396,-0.813869081048173,0.126031222015606
"587","(STRAT_mod26.6 - STRAT_mod27.2) - (STRAT_mod26.6 - STRAT_mod37.1)","Silcrete",-0.108423526157628,-0.561214644662663,0.365632531668281
"588","(STRAT_mod26.6 - STRAT_mod27.2) - (STRAT_mod26.6 - STRAT_mod49.8)","Silcrete",-0.391384705258385,-0.876850072793498,0.0328357030777315
